Keypoint Pixel Distance,CM Distance
184,36.89872360229492
159,35.20572280883789
174,35.204307556152344
199,38.86300277709961
169,38.10719680786133
167,35.529640197753906
161,37.98137664794922
134,29.71816062927246
165,35.63069534301758
143,32.736454010009766
148,37.369197845458984
133,32.898284912109375
182,35.49702835083008
139,32.31653594970703
157,30.854032516479492
153,35.52895736694336
160,33.658897399902344
155,37.75563430786133
158,36.40070724487305
161,36.41386795043945
159,37.541988372802734
131,32.736454010009766
157,34.56111145019531
158,36.35023498535156
157,36.9449348449707
158,37.93239974975586
141,32.810848236083984
153,35.31441116333008
144,31.267898559570312
162,32.57350540161133
162,36.71270751953125
173,33.45051574707031
163,38.774051666259766
153,34.663333892822266
177,37.851505279541016
156,39.223182678222656
174,39.03143310546875
176,38.080318450927734
141,33.066925048828125
153,36.70221710205078
159,38.093196868896484
160,32.7025260925293
188,38.412261962890625
159,33.749168395996094
153,36.948707580566406
152,35.73531723022461
190,36.65114974975586
151,34.5031623840332
137,32.437347412109375
156,36.729366302490234
168,37.55616760253906
156,37.997127532958984
168,36.50542068481445
172,36.84080123901367
151,36.99311447143555
134,33.24423599243164
140,35.744266510009766
154,32.072261810302734
179,34.805419921875
153,36.49624252319336
130,30.693971633911133
179,36.898502349853516
167,38.466766357421875
144,31.78414535522461
157,38.99042892456055
147,39.21882247924805
151,37.8177604675293
145,36.96571731567383
166,37.89859390258789
211,40.01491165161133
165,36.272483825683594
158,36.726280212402344
133,34.20745849609375
210,42.13654708862305
269,39.33932113647461
150,34.8982048034668
168,37.1711540222168
140,30.443775177001953
176,35.70415496826172
168,34.47090530395508
146,35.836769104003906
196,38.00741195678711
146,36.99311447143555
155,37.970218658447266
157,30.398014068603516
147,31.110427856445312
178,40.515323638916016
168,40.29206085205078
157,31.145843505859375
171,32.18828201293945
172,36.784523010253906
165,37.90982437133789
134,32.35405731201172
151,32.17216110229492
167,37.8577766418457
154,35.39554977416992
166,34.018951416015625
152,32.28316879272461
190,37.242271423339844
175,40.38764190673828
171,39.089698791503906
132,35.52457046508789
173,34.17506408691406
162,34.355098724365234
157,36.44601058959961
145,36.66702651977539
168,36.803680419921875
160,33.72614669799805
153,36.30184555053711
151,36.039554595947266
137,32.23036193847656
198,35.98493194580078
164,37.28667068481445
162,36.305850982666016
157,33.49020767211914
184,40.3025016784668
148,35.91569137573242
137,31.020593643188477
137,32.02262496948242
170,38.00741195678711
180,35.57666778564453
242,36.35197067260742
143,36.09889602661133
182,41.22550964355469
134,32.35405731201172
185,42.19075012207031
149,36.73625946044922
185,40.661949157714844
154,36.88051986694336
169,38.95442199707031
170,35.910438537597656
133,32.26383590698242
201,39.73535919189453
184,40.03091049194336
163,39.20354461669922
184,37.87717819213867
175,36.13393020629883
182,39.03143310546875
155,32.91877365112305
137,34.05841827392578
157,33.24088668823242
150,34.39828872680664
179,38.100990295410156
183,38.093196868896484
155,37.34228515625
149,31.604066848754883
205,37.489784240722656
153,35.51525115966797
159,36.390464782714844
290,36.984893798828125
231,35.39149475097656
138,31.30208969116211
164,36.64410400390625
143,35.157108306884766
149,33.1990852355957
164,37.87985610961914
181,37.91260528564453
193,37.2378044128418
226,39.02021026611328
153,34.73542022705078
190,39.40013122558594
159,37.25426483154297
171,36.052616119384766
161,33.56027603149414
178,36.29829406738281
161,39.48685073852539
184,39.1942138671875
147,36.428916931152344
177,37.239463806152344
177,35.29326248168945
165,34.86284255981445
142,34.839420318603516
169,33.943077087402344
171,35.795433044433594
143,32.02262496948242
164,31.153865814208984
166,38.04731369018555
137,32.23036193847656
214,40.04086685180664
152,37.57272720336914
178,36.678157806396484
142,37.610050201416016
149,33.49126052856445
191,37.93239974975586
158,36.44013595581055
133,31.48975372314453
147,32.422874450683594
145,36.84080123901367
172,34.31735610961914
193,37.851505279541016
145,30.179838180541992
146,33.42204666137695
134,30.58133888244629
167,32.4898567199707
163,32.078861236572266
173,40.66492462158203
147,35.493865966796875
178,37.7961540222168
217,40.716548919677734
140,32.31653594970703
165,38.70651626586914
143,37.37223815917969
177,38.04731369018555
142,33.774566650390625
158,37.163414001464844
171,40.74409103393555
166,38.99053955078125
156,31.99197769165039
149,31.70542335510254
172,38.40177536010742
199,40.74409103393555
157,37.50314712524414
150,31.171001434326172
159,37.541988372802734
150,32.66472244262695
184,38.82279586791992
148,33.03657531738281
169,36.19296646118164
165,33.0620002746582
160,36.40118408203125
158,36.428916931152344
165,35.863285064697266
152,35.880088806152344
170,39.10502624511719
135,34.29978942871094
171,38.80073165893555
148,34.73645782470703
118,32.57936477661133
167,37.927001953125
154,36.88507843017578
173,37.8287467956543
171,38.99409866333008
136,32.072261810302734
142,34.728355407714844
148,33.73812484741211
153,35.57147216796875
179,36.22536849975586
176,37.10380172729492
168,39.783042907714844
146,33.21379089355469
142,32.18417739868164
173,43.23426055908203
156,37.71132278442383
201,39.36357116699219
186,39.250553131103516
148,31.702959060668945
162,33.24088668823242
142,32.101051330566406
174,39.74113464355469
140,33.17777633666992
195,40.01491165161133
165,37.55616760253906
172,37.04582977294922
190,37.070037841796875
175,40.98346710205078
179,35.57666778564453
174,37.569786071777344
162,37.521121978759766
162,36.90079879760742
175,32.00025177001953
155,36.35935974121094
172,34.31735610961914
156,36.45156478881836
197,42.126487731933594
168,37.25426483154297
144,36.343902587890625
185,35.46477508544922
165,32.702022552490234
193,40.15678405761719
175,36.955223083496094
169,33.03047561645508
157,32.6778678894043
202,39.74113464355469
155,37.655189514160156
161,34.292789459228516
165,39.27156066894531
173,37.86329650878906
168,38.00552749633789
164,34.47090530395508
180,36.80069351196289
170,39.30138397216797
149,36.370025634765625
166,38.94935607910156
151,36.53007507324219
180,39.2413444519043
171,40.56339645385742
185,38.528377532958984
140,36.30482864379883
158,36.100791931152344
157,37.69894790649414
157,37.70930480957031
171,36.655303955078125
193,36.812278747558594
126,32.35405731201172
144,35.029327392578125
188,36.678157806396484
164,34.728355407714844
169,33.26832962036133
169,38.99042892456055
177,32.54269790649414
162,33.27970886230469
171,41.160945892333984
176,39.647369384765625
185,38.3740119934082
170,37.815093994140625
254,36.7807502746582
130,35.763755798339844
200,38.821475982666016
168,35.24760437011719
147,36.683189392089844
173,39.2050895690918
173,36.23276138305664
161,35.24760437011719
178,39.851741790771484
201,40.716548919677734
257,39.4323844909668
160,31.171001434326172
178,37.93239974975586
175,37.41827392578125
182,37.2378044128418
142,33.09746170043945
192,35.827659606933594
163,41.04945373535156
170,39.91807174682617
143,34.549232482910156
153,35.01505661010742
158,37.476707458496094
146,37.2537841796875
140,38.100990295410156
150,36.1632194519043
135,30.83150863647461
159,36.107200622558594
151,37.610050201416016
151,37.21030807495117
173,37.93239974975586
145,36.55106735229492
143,33.31666946411133
176,38.0992317199707
153,35.80409240722656
174,36.73978805541992
161,33.24088668823242
166,31.78727912902832
150,37.45469284057617
169,38.99042892456055
151,32.60207748413086
131,32.072261810302734
193,37.37777328491211
174,39.29885482788086
147,38.39943313598633
150,31.855058670043945
157,36.24042510986328
186,37.6334342956543
148,38.99689483642578
150,33.25265121459961
143,37.610050201416016
139,31.51561164855957
152,39.32440948486328
176,36.642208099365234
155,34.301002502441406
162,35.71326446533203
168,35.795433044433594
125,34.19386672973633
189,38.665592193603516
146,32.00025177001953
157,39.5876579284668
160,34.63153076171875
182,39.333038330078125
179,36.55827331542969
167,32.702022552490234
162,34.70277404785156
160,36.53139114379883
151,37.476707458496094
164,35.362857818603516
148,32.900146484375
180,31.867128372192383
161,36.43764114379883
156,37.49471664428711
163,38.66070556640625
172,36.13393020629883
173,33.8940315246582
153,37.23056411743164
160,36.64410400390625
192,41.22550964355469
150,35.529640197753906
177,37.41827392578125
138,30.58133888244629
158,31.016550064086914
176,40.21352767944336
175,36.09296798706055
160,36.107200622558594
146,32.43743133544922
138,34.906150817871094
158,36.74345779418945
151,33.808509826660156
172,39.2050895690918
170,37.1711540222168
154,38.8522834777832
177,37.9268798828125
157,36.06517028808594
219,42.13654708862305
165,39.03143310546875
167,40.29206085205078
141,36.613216400146484
160,33.31106185913086
158,36.87796401977539
147,32.51630401611328
165,33.489410400390625
163,35.96683120727539
153,31.70542335510254
178,40.06121826171875
193,37.2378044128418
167,38.350162506103516
168,35.18235397338867
149,37.4703254699707
171,38.3455924987793
145,36.53139114379883
196,43.19129180908203
180,36.65114974975586
153,32.202362060546875
135,33.43022537231445
179,39.20354461669922
154,38.10128402709961
168,38.47568130493164
213,38.49708557128906
170,37.70729446411133
151,36.66755294799805
128,31.91562271118164
341,35.29326248168945
